risk_category,consolidation_status,lat,lng,address,street_number,height_regime,locality,county,year_built,apartment_count,surface,,examination_year,certified_expert,observations
RS2,NO,44.458903,26.086823,Aleea ALEXANDRU,46,S+P+1E+Ma,Sector 1,București,1940,7,331,331,1993,Mircea NEICU,
RS3,NO,44.44612303,26.12736879,Aleea AVRIG (colț cu Șoseaua MIHAI BRAVU),6 (bloc P4; 37),S+P+10E,Sector 2,București,1963,,4378,4378,1993,Dan POPESCU,
RS3,NO,44.445453,26.129076,Aleea AVRIG,10 (bloc P5),S+P+10E,Sector 2,București,1963,,,,1993,Dan POPESCU,
RS3,NO,44.444958,26.129523,Aleea AVRIG,14 (bloc P6),S+P+10E,Sector 2,București,1963,,,,1993,Dan POPESCU,
RS3,NO,44.4261707,26.1699257,Aleea BARAJUL DUNARII,3 (bloc M35),S+P+10E,Sector 3,București,1964,,27956,27956,1996,Dan POPESCU,
U3,NO,44.4269612,26.1675711,Aleea BARAJUL SADULUI,3÷5 (bloc N12-13),S+P+13E+1Etehnic,Sector 3,București,1975,166,15848,15848,2013,Gavril POP,Încadrare în clasă de risc seismic RsIII spre RsII în anul 2013 (documentaţie tehnico economică elaborată pentru creşterea eficienţei energetice a construcţiei)
U3,NO,44.456599,26.109511,Aleea CIRCULUI,15,S+P+1E,Sector 2,București,1960,,2265,2265,2006,Nicolae ALEMAN,
RS3,NO,44.420038,26.045356,Aleea COMPOZITORILOR,11 (bloc G12),S+P+10E,Sector 6,București,1972,,3157,3157,1995,Dan STANCIULESCU,
RS3,NO,44.419075,26.041788,Aleea COMPOZITORILOR,30 (bloc OD15),S+P+9E,Sector 6,București,1963,,1477,1477,1996,Cristian BALAN,
RS3,NO,44.419994,26.046239,Aleea COMPOZITORILOR,5 (bloc G9),S+P+10E,Sector 6,București,1972,,3157,3157,1995,Dan STANCIULESCU,
RS1,NO,44.4251498,26.0996698,Aleea DEALUL MITROPOLIEI,11,S+P+2E,Sector 4,București,1930,,14,14,1993,Alexandru BRANZEI,
RS2,NO,44.4247839,26.0985926,Aleea DEALUL MITROPOLIEI,17,S+P+1E+Ma,Sector 4,București,1923,,456,456,1993,Cristian BALAN,
RS2,NO,44.424856,26.0985338,Aleea DEALUL MITROPOLIEI,19,S+P+2E+Ma,Sector 4,București,1926,,880,880,1993,Corneliu NICUT,
RS1,NO,44.42539,26.100241,Aleea DEALUL MITROPOLIEI,5,S+P+3E,Sector 4,București,1927,,840,840,1993,Alexandru BRANZEI,
RS2,NO,44.4255256,26.1001316,Aleea DEALUL MITROPOLIEI,7,S+P+3E,Sector 4,București,1896,,1347,1347,1993,Dan CAPATINA,
N/A,NO,44.383752,26.116175,Aleea DRAGOS MLADINOVICI,2÷4 (bloc R11),S+P+9E,Sector 4,București,1965,164,121,121,1996,Armand NEFIAN,
N/A,NO,44.383614,26.118154,Aleea DRAGOS MLADINOVICI,5 (bloc R16),S+P+9E,Sector 4,București,1965,80,692,692,1996,Nicolae CONSTANTINESCU,
N/A,NO,44.383424,26.117789,Aleea DRAGOS MLADINOVICI,7 (bloc R17),S+P+9E,Sector 4,București,1965,80,65,65,1996,Armand NEFIAN,
RS2,NO,44.440254,26.132664,Aleea LUNGULEŢU,6,S+P+10E,Sector 2,București,1963,,3071,3071,1994,Dan ANASTASIU,
RS3,NO,44.4330217,26.1121073,Aleea MÂNTULEASA,2,S+P+1E,Sector 2,București,1936,,,,1993,Niculaie TUDOSE,
U1,NO,44.45815737,26.08796159,Aleea MODROGAN (MINISTERUL AFACERILOR EXTERNE),14 (tronson I),S+P+3E+Pod,Sector 1,București,1952,,324,324,2011,Traian POPP,
U2,NO,44.4574936,26.0894608,Aleea MODROGAN (MINISTERUL AFACERILOR EXTERNE),14 (tronson II+III),S+P+3E+Pod,Sector 1,București,1952,,648,648,2011,Traian POPP,Încadrare în clasă de risc seismic în anul 2011
U2,NO,44.457669,26.127534,Aleea OTEŞANI,1÷7 (bloc OD52+OD54),S+P+10E,Sector 2,București,1970,176,13694,13694,2000,Mihai NAVODARIU,
N/A,NO,44.442419,26.181891,Aleea PANTELIMON,7,P+4,Sector 3,București,1969,,,,1993,Mircea NEICU,
U2,NO,44.4243126,26.0304251,Aleea POIANA MUNTELUI,2 (bloc OD3),S+P+9E,Sector 6,București,1964,224,1755,1755,2000,Mihai NAVODARIU,
U2,NO,44.425095,26.040907,Aleea PRAVĂŢ,2 (bloc Z6),S+P+10E,Sector 6,București,1968,66,5198,5198,2010,Ion LUNGU,
RS3,NO,44.406281,26.070644,Aleea PRICOPAN,12 (bloc 20),S+P+4E,Sector 5,București,1969,40,2244,2244,1993,Mircea CONDRUT,
RS3,NO,44.40592,26.070095,Aleea PRICOPAN,4 (bloc 12),S+P+4E,Sector 5,București,1969,40,2244,2244,1993,Gabriel NICULESCU,
RS3,NO,44.40564,26.0718951,Aleea PRICOPAN,6 (bloc 16),S+P+4E,Sector 5,București,1969,40,2244,2244,1993,Gabriel NICULESCU,
RS3,NO,44.405384,26.072003,Aleea PRICOPAN,6A (bloc 18),S+P+4E,Sector 5,București,1969,40,2244,2244,1993,Gabriel NICULESCU,
RS3,NO,44.406093,26.070371,Aleea PRICOPAN,8 (bloc 19),S+P+4E,Sector 5,București,1969,40,2244,2244,1993,Mircea CONDRUT,
N/A,NO,44.381092,26.123294,Aleea RAUL SADULUI,6 (bloc 7),S+P+9E,Sector 4,București,1964,,,,1993,Traian POPP,
N/A,NO,44.390926,26.11732,Aleea SECUILOR,2 (bloc 31),S+P+8E,Sector 4,București,1965,107,6557,6557,1993,Nicolae CONSTANTINESCU,
RS3,NO,44.452064,26.14716,Aleea SILISTEA,1,S+P+4E,Sector 2,București,1968,,,,1994,Mircea NEICU,
RS2,NO,44.452567,26.146421,Aleea SILISTEA,4 (bloc 7),S+P+4E,Sector 2,București,1968,,,,1993,Adina SIMION,
N/A,NO,44.463408,26.13616,Aleea SINAIA,18,S+P+10E,Sector 2,București,1973,,,,1993,Adina SIMION,
RS2,NO,44.4633029,26.1349692,Aleea SINAIA,10 (bloc 74),S+P+10E,Sector 2,București,1976,44,,,1993,Nicolae CONSTANTINESCU,
RS2,NO,44.46297,26.134471,Aleea SINAIA,5,S+P+8E,Sector 2,București,1974,,,,1993,Dragoş BADEA,
RS2,NO,44.463044,26.134928,Aleea SINAIA,8,S+P+8E,Sector 2,București,1974,,,,1993,Gabriel NICULESCU,
RS3,NO,44.4183531,26.0927741,Aleea SUTER,17,S+P+1E+Ma,Sector 4,București,1925,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4184049,26.0929607,Aleea SUTER,18,S+P+1E,Sector 4,București,1915,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4184589,26.0928095,Aleea SUTER,19,S+P+1E,Sector 4,București,1925,,,,1993,Eugeniu IORDACHESCU,
RS2,NO,44.4190475,26.0931295,Aleea SUTER,2 (corp A+B),S+P+1E+Ma;S+P,Sector 4,București,1910,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4186367,26.0930218,Aleea SUTER,22,S+P+1E,Sector 4,București,1915,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4176095,26.0924766,Aleea SUTER,3,P+1+M,Sector 4,București,1920,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4178246,26.0927192,Aleea SUTER,8,S+P+1E,Sector 4,București,1910,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.4179277,26.0926049,Aleea SUTER,9,S+P+1E,Sector 4,București,1920,,,,1993,Eugeniu IORDACHESCU,
RS3,NO,44.439733,26.179252,Aleea VERGULUI,1 (bloc 20),S+P+10E,Sector 2,București,1964,,,,1993,Stefan MIHAILESCU,
RS3,NO,44.440155,26.179523,Aleea VERGULUI,3 (bloc 21),S+P+10E,Sector 2,București,1974,,,,1993,Stefan MIHAILESCU,
RS2,NO,44.440035,26.181291,Aleea VERGULUI,4 (bloc 15),S+P+10E,Sector 2,București,1975,,,,1993,Stefan MIHAILESCU,
