Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
45.153772,26.822,Str. Cuza-Vodă,7,Buzău,Buzău,1883,P+1,1,386,1993,V.Constantinescu,,0,U1
45.153727,26.8221296,Str. Cuza-Vodă,9,Buzău,Buzău,1883,P+1,2,784,1993,V.Constantinescu,,0,U1
45.153473,26.82141,Str. Cuza-Vodă,1l,Buzău,Buzău,1880,P+1,3,493,1993,V.Constantinescu,,0,U1
45.153864,26.822352,Str. Cuza-Vodă,13,Buzău,Buzău,1880,P+1,1,669,1993,V.Constantinescu,,0,U1
45.1539739,26.8224793,Str. Cuza-Vodă,17,Buzău,Buzău,1920,P+1,1,211,1993,V.Constantinescu,,0,U1
45.1541399,26.8233113,Str. Cuza-Vodă,19,Buzău,Buzău,1942,P+1,1,106,1993,V.Constantinescu,,0,U1
45.153527,26.8221821,Str. Cuza-Vodă,22,Buzău,Buzău,1920,P+1,1,372,1993,V.Constantinescu,,0,U1
45.1534859,26.8213109,Str. Cuza-Vodă,22 bis,Buzău,Buzău,1904,P+1,1,637,1993,V.Constantinescu,,0,U1
45.1536214,26.8223795,Str. Cuza-Vodă,28,Buzău,Buzău,1934,P+1,1,148,1993,V.Constantinescu,,0,U1
45.154475,26.823481,Str. Cuza-Vodă,43-45,Buzău,Buzău,1928,P+1,3,123,1993,V.Constantinescu,,0,U1
45.1547636,26.8235017,Str. Cuza-Vodă,57,Buzău,Buzău,1895,P+1,1,200,1993,V.Constantinescu,,0,U1
45.1546288,26.8237904,Str. Cuza-Vodă,86,Buzău,Buzău,1934,P+1,1,63,1993,V.Constantinescu,,0,U1
45.1545398,26.8238326,Str. Cuza-Vodă,90,Buzău,Buzău,1910,P+1,1,43,1993,V.Constantinescu,,0,U1
45.154727,26.823805,Str. Piaţa Teatrului,30,Buzău,Buzău,1910,P+1,1,43,1993,V.Constantinescu,,0,U1
45.1462694,26.820874,Str. Col. Buzoianu,95,Buzău,Buzău,1937,P+1,9,517,1993,V.Constantinescu,,0,U1
45.154101,26.8225331,Str. Griviţei,10,Buzău,Buzău,1920,P+1,1,150,1993,V.Constantinescu,,0,U1
45.1511397,26.8207673,Str. Independenţei,4,Buzău,Buzău,1936,P+1,3,199,1993,V.Constantinescu,,0,U1
45.15305414,26.79689723,Micro XIV,Bloc 41,Buzău,Buzău,1971,P+10,80,2520,1993,Mazilu,,0,U1
45.1559,26.8184,Obor,Bloc 1,Buzău,Buzău,1962,P+4,20,1325,1993,V.Constantinescu,,0,U1
45.1559193,26.8218903,Obor,Bloc 3,Buzău,Buzău,1962,P+4,20,1325,1993,V.Constantinescu,,0,U1
45.1559201,26.8210394,Obor,Bloc 4,Buzău,Buzău,1962,P+4,40,2650,1993,V.Constantinescu,,0,U1
45.1548934,26.8253995,Obor,Bloc 5,Buzău,Buzău,1962,P+4,40,2650,1993,V.Constantinescu,,0,U1
45.1559566,26.8217837,Obor,Bloc 10,Buzău,Buzău,1962,P+4,30,2225,1993,V.Constantinescu,,0,U1
45.1547029,26.8257116,Obor,Bloc 11,Buzău,Buzău,1962,P+4,30,2225,1993,V.Constantinescu,,0,U1
45.155859,26.823118,Obor,Bloc 12,Buzău,Buzău,1962,P+4,30,2225,1993,V.Constantinescu,,0,U1
45.1545803,26.8259803,Obor,Bloc 13,Buzău,Buzău,1962,P+4,30,2225,1993,V.Constantinescu,,0,U1
45.14678157,26.83807767,Micro V,Bloc 17,Buzău,Buzău,1978,S+P+M+10,120,11605,1993,Mazilu,,0,U1
45.1554791,26.8209468,Obor,Bloc 2 Chimica,Buzău,Buzău,1955,S+P+E,42,1118,1993,V.Constantinescu,,0,U1
45.1630298,26.8186091,Centru,Bloc A,Buzău,Buzău,1960,S+D+P+3,25,1600,1993,V.Constantinescu,,0,U1
