Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
44.925738,25.461982,str.Nuferilor,"Micro 8, Bl.4",Targoviste,Dâmbovița,1975,S+P+4E,40,3952,1995,Stoica Nicolae,,,U3
44.9312087,25.4484528,str.Radu cel Mare,"Micro 4, Bl.18",Targoviste,Dâmbovița,1978,S+P+10E,44,3141,1995,Stoica Nicolae,,,U3
44.9329889,25.4477084,str.Fluturilor,"Micro 4, Bl.31",Targoviste,Dâmbovița,1978,S+P+10E,44,4881,1995,Stoica Nicolae,,,U2
44.92749745,25.44030687,Bd.Unirii,Bl.39B,Targoviste,Dâmbovița,1975,S+P+10E,88,7057,1996,Căpăţână Dan,,,U2
44.92667659,25.43979105,Bd.Unirii,Bl.40,Targoviste,Dâmbovița,1975,S+P+10E,88,7057,1996,Căpăţână Dan,,,U2
44.92624183,25.44017219,Bd.Unirii,Bl.41,Targoviste,Dâmbovița,1975,S+P+10E,88,7057,1996,Căpăţână Dan,,,U2
44.92577708,25.44052157,Bd.Unirii,Bl.42,Targoviste,Dâmbovița,1975,S+P+10E,88,7057,1996,Căpăţână Dan,,,U2
44.92410141,25.44259557,Bd.Unirii,Bl.50,Targoviste,Dâmbovița,1975,S+P+10E,88,7057,1996,Căpăţână Dan,,,U2
44.916808,25.460464,Aleea Trandafirilor,Bl.16C,Targoviste,Dâmbovița,1961,S+P+4E,20,1976,1997,Căpăţână Dan,,,U2
44.916808,25.460464,Aleea Trandafirilor,Bl.16AB,Targoviste,Dâmbovița,1961,S+P+4E,40,3952,1997,Căpăţână Dan,,,U2
44.9177899,25.45757,Aleea Trandafirilor,Bl.6BC,Targoviste,Dâmbovița,1961,S+P+4E,40,3952,1997,Căpăţână Dan,,,U2
44.9306319,25.4537895,Strada Vasile Florescu,Bl.24,Targoviste,Dâmbovița,1978,S+P+4E,32,4757,1999,Pretorian Alexandrina,,,RS2
44.917522,25.458796,Aleea Trandafirilor,Bl.10C,Targoviste,Dâmbovița,1963,P+4E,20,1353,2000,Iliescu Elena,,,RS2
44.9329873,25.4447751,str.Radu Popescu,Bl.22,Targoviste,Dâmbovița,1975,S+P+10E,40,3580,2001,Căpăţână Dan,,,RS3
44.9835936,25.6479795,str.Saturn,"Micro 2, Bl.18A,B",Moreni,Dâmbovița,1975,P+4E,40,2147,1994,Bălan Cristian,,,U3
45.069933,25.435697,Bd. Trandafirilor,Bl.18,Pucioasa,Dâmbovița,1953,P+1,8,459,1994,Apostolescu I. Vlăstar,,,N/A
45.1337,25.42327,Aleea Teilor,BL.5,Fieni,Dâmbovița,1953,P+2,12,1140,1994,Apostolescu I. Vlăstar,,,N/A
