Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
45.8455215,27.4266792,C. Racoviță,bloc D,Tecuci,Galați,1963,P+4E,20,1666,1998,Dr. Ing. Coșovliu Octavian,da,,RS2
45.8455215,27.4266792,C. Racoviță,bloc C,Tecuci,Galați,1963,P+3E,22,1710,1996,Ing. Rusu Aneta,da,,RS1
45.4411893,28.0577678,Cuza Vodă,51,Galați,Galați,1940,D+P+E,4,626,1997,Mohor E.,,,RS3
45.4336945,28.0473762,Democrației,17,Galați,Galați,1940,S+P,,126.5,2004,Balan M.,,,RS1
45.437466,28.0599076,Dogăriei,89 (corp C),Galați,Galați,1930,P,,156.95,2000,Mohor E.,,,RS1
45.4369727,28.0521701,Bălcescu,17,Galați,Galați,1900,D+P+2E,8,1004.6,2000,Mohor E.,,,RS1
45.4388975,28.0552466,Univeristății,7,Galați,Galați,1924,D+P+E,9,,1997,Mohor E.,,,RS1
45.4335168,28.0522971,Brăilei,14,Galați,Galați,1910,P+E+M,6,260.48,2002,Mohor E.,,,RS1
45.4373795,28.0491235,Tecuci,42,Galați,Galați,1860,P+1E,14,637.90,2000,Mohor E.,,,RS1
45.4471274,28.0452008,Traian,210,Galați,Galați,1880,P,,163,2002,Mohor E.,,,RS1
45.43483361,28.04635955,Zânelor,1,Galați,Galați,1912,P,2,117,2001,Mohor E.,,,RS2
45.4413454,28.0494461,Carnabel,31-33,Galați,Galați,1880,S+P+1E,5,372.9,1999,Mohor E.,,,RS1
45.4351327,28.0386974,Morilor,43,Galați,Galați,1950,P,"",640.7,2002,Mohor E.,,,RS1
45.45447444,28.05299025,Florilor,44,Galați,Galați,1910,P,,47.5,2001,Rusu D.,,,RS2
45.4371751,28.0529041,N. Bălcescu,34,Galați,Galați,1940,P+1E,12,599.05,1999,Mohor E.,,,RS1
45.433259,28.0511131,Sf. Spiridon,2,Galați,Galați,1870,S+P+2E,,932.5,2004,Mohor E.,,,RS1
45.4326523,28.0449953,Caragiale,35,Galați,Galați,1900,P,,165.12,2001,Mohor E.,,,RS1
45.4376275,28.0527231,I. Fotea,29,Galați,Galați,1940,P+E,6,573.6,2000,Mohor E.,,,RS2
45.4411032,28.0437275,Războieni,5,Galați,Galați,1930,P,,115.4,2000,Mohor E.,,,RS1
45.4431209,28.0543223,Culturii,12,Galați,Galați,,S+P+E,,,2004,Coșovliu O.,,,RS2
45.4396987,28.0338462,Tecuci,101 (Nord),Galați,Galați,,P,,30.69,2004,Mohor E.,,,RS1
45.4404025,28.0551687,Eroilor,8 (2 corpuri),Galați,Galați,1910,Dpartial+P,2,428,2000,Mohor E.,,,RS1
45.4404117,28.0571864,Cuza,47,Galați,Galați,1900,P+1E,,292.12,2000,Mohor E.,,,RS2
45.4341017,28.0599338,Dogăriei,33,Galați,Galați,1930,P+1E,,175.23,2001,Mohor E.,,,RS1
45.4356272,28.042681,M. Eminescu,73,Galați,Galați,1930,P,,75.7,1999,Mohor E.,,,RS1
45.4413088,28.0522554,N. Bălcescu,76,Galați,Galați,1985,D+P,8,478,2000,Mohor E.,,,RS1
45.4377024,28.0525212,N. Bălcescu,21(C),Galați,Galați,1900,P+2E,9,1122,2004,Mohor E.,,,RS1
45.4325659,28.0445733,Caragiale,41,Galați,Galați,1900,P+1E,,420,2000,Mohor E.,,,RS1
45.4388982,28.0598413,Dogăriei,88,Galați,Galați,1920,P+1E,,538.84,2004,Bușilă C,,,RS1
45.4426269,28.0527125,Holban,13 A,Galați,Galați,1890,Dpartial+P,7,360,2001,Bușilă C,,,RS3
45.43680149,28.04215978,Muzicii,15 3 copuri,Galați,Galați,1900,P,3,209.1,2001,Mohor E.,,,RS1
45.437275,28.0389493,Muzicii,51,Galați,Galați,1880,P,,123,2003,Mohor E.,,,RS1
45.4363928,28.0662581,Leului,1,Galați,Galați,1930,P+1E,,286.7,2000,Mohor E.,,,RS1
45.4404146,28.0574441,Cuza,49 2 corpuri,Galați,Galați,1930,P,3,351.6,2003,Mohor E.,,,RS1
45.4406522,28.0294981,Basarabiei,64,Galați,Galați,1930,Spartial+P,1,166.2,2003,Bușilă C,,,N/A
45.436691,28.0496435,Democrației,84,Galați,Galați,1900,P,,330,2000,Mohor E.,,,RS1
45.4375267,28.0535761,I. Fotea,25,Galați,Galați,1860,D+P+1Epartial,10,490.46,2001,Mohor E.,,,RS2
45.4420355,28.0455266,N. Alexandrescu,57,Galați,Galați,,P,,,2001,Mohor E.,,,RS1
45.4501395,28.0365483,Cuza,29,Galați,Galați,1843,P+1E,4,524,2003,Mohor E.,,,RS2
45.4385953,28.0516022,Arieșului,6,Galați,Galați,1940,P+1E,9,550,1999,Mohor E.,,,RS1
45.4532895,28.0517784,Parcului,8,Galați,Galați,1935,P,4,74,2001,Mohor E.,,,RS2
45.4406432,28.0494462,Dr. Carnabel,19,Galați,Galați,1930,Spartial+P+1E,4,175.25,2002,Mohor E.,,,RS1
45.4443706,28.0462356,Traian,129,Galați,Galați,,P,,31.56,2000,Mohor E.,,,RS1
45.4400725,28.0576183,Cuza,70,Galați,Galați,1940,D+P+1Epartial,,180,2000,Mohor E.,,,RS1
45.4389655,28.0547128,Univeristății,13 b,Galați,Galați,1893,P+E,3,582.5,2004,Mohor E.,,,RS2
45.4309966,28.0551982,Domnească,124,Galați,Galați,1900,P,2,159.8,2001,Mohor E.,,,RS2
45.4400923,28.0520622,Bălcescu,37,Galați,Galați,1937,P + Mansardă,2,54.3,2001,Mohor E.,,,RS2
45.4360144,28.0570494,Logofăt Tăutu,6,Galați,Galați,1930,S+P+2E,8,77.6,1999,Zbirnea,,,RS1
45.4395735,28.0427328,Movilei,60,Galați,Galați,1930,P,2,165.66,2002,Bușilă C,,,RS1
45.4373971,28.0584797,Cuza,40,Galați,Galați,1902,D+P+1E,5,570.9,2001,Mohor E.,,,RS1
45.4353208,28.0079945,Zânelor,11,Galați,Galați,1900,P,1,116.2,2004,Mohor E.,,,RS1
45.4478569,28.0448439,Traian,222,Galați,Galați,1940,P,,113.86,2000,Mohor E.,,,RS1
45.4497057,28.0524745,Domnească,126,Galați,Galați,1900,P,,113.3,2001,Mohor E.,,,RS1
45.4407518,28.0493931,Dr. Carnabel,21-23,Galați,Galați,1900,D+P,3,854,2001,Mohor E.,,,RS1
45.4435609,28.0425822,Războieni,64,Galați,Galați,1900,P,,40.25,2004,Bușilă C,,,RS1
45.4455836,28.0550312,Domnească,94 (corp B),Galați,Galați,1930,P,11,345,1997,Coșovliu O.,,,RS2
45.4401058,28.056556,Domnească,"52, 52 A",Galați,Galați,1890,P+1E,,720,1995,Coșovliu O.,,,RS1
45.4376923,28.0600634,Dogăriei,70,Galați,Galați,1900,P,,184.5,2000,Mohor E.,,,RS1
45.4431275,28.0448747,N. Alexandrescu,81-83,Galați,Galați,1900,S+P,,207.19,2001,Mohor E.,,,RS1
45.4431092,28.0471481,Traian ,110,Galați,Galați,1900,P,,243.8,2004,Mohor E.,,,RS1
45.4641277,28.0361695,Traian,387,Galați,Galați,1860,P,,238.2,2001,Mohor E.,,,RS1
45.43602,28.0562501,Domnească,24,Galați,Galați,1900,P+1E,,,2002,Mohor E.,,,RS1
45.4495695,28.0478441,Grădina Veche,75,Galați,Galați,1930,Dpartial+P+2E,,171.6,2000,Mohor E.,,,RS2
45.4378153,28.0582492,Cuza,44,Galați,Galați,1869,P+E+Spartial,7,673.1,2003,Bușilă C,,,RS2
45.454821,28.0530827,Florilor,46,Galați,Galați,1900,P,,376.33,2003,Mohor E.,,,RS1
45.4374185,28.0388692,Muzicii,48,Galați,Galați,1900,P,4,57,2001,Mohor E.,,,RS1
45.4347226,28.060074,Dogăriei,41,Galați,Galați,1930,P,3,163.1,2000,Mohor E.,,,RS1
45.4343595,28.0609596,Săliștei,8,Galați,Galați,,P,,51.2,2002,Bălan D.,,,RS2
45.4396987,28.0338462,Tecuci,66,Galați,Galați,1910,P,,196,1999,Mohor E.,,,RS1
45.437868,28.044935,Tecuci,68,Galați,Galați,1910,P,,430,1999,Mohor E.,,,RS1
45.4379773,28.044287,Tecuci,76,Galați,Galați,1900,P,,61,2001,Mohor E.,,,RS1
45.4400923,28.0520622,N. Bălcescu,37,Galați,Galați,1937,P,2,254.7,2001,Mohor E.,,,RS2
45.4394801,28.0639223,Ana Ipătescu,13,Galați,Galați,,P+1E,3,416.6,2000,Mohor E.,,,RS2
45.4343333,28.0512758,Traian,31,Galați,Galați,1928,P+E,5,705,2000,Mohor E.,,,RS2
45.4394062,28.0491484,Traian,112,Galați,Galați,1900,P+1E,,304.6,2004,Mohor E.,,,RS1
45.4373861,28.0581662,Cuza,23,Galați,Galați,1845,P+1E,,364.6,2001,Bușilă C,,,RS1
45.43557388,28.04693782,Zânelor,13,Galați,Galați,1912,P+E,,261,1999,Mohor E.,,,RS1
45.4447065,28.0512392,N. Bălcescu,118,Galați,Galați,1930,P+1E,8,,1997,Coșovliu O.,,,RS1
45.444902,28.050387,Grădina Veche,2,Galați,Galați,1920,P+1E,,178,2004,Mohor E.,,,RS1
45.4368673,28.0426688,Muzicii,9,Galați,Galați,,P,,100.3,2001,Bușilă C,,,RS1
45.43694692,28.04364724,Română,50,Galați,Galați,,P,2,,1997,Mohor E.,,,RS2
45.4397329,28.0490545,Traian,114,Galați,Galați,1900,P+1E,,400.3,2003,Mohor E.,,,RS1
45.4402324,28.0536037,Eroilor,28,Galați,Galați,1900,Dpartial P,2,471.25,2000,Mohor E.,,,RS1
45.4378122,28.0547966,I. Fotea,26,Galați,Galați,1870,D+P,,78.14,2004,Mohor E.,,,RS1
45.4384831,28.0580656,Cuza,54,Galați,Galați,1859,S+P+M,,545.5,2001,Mohor E.,,,RS1
45.4493835,28.0522164,Domneasca,133,Galați,Galați,1930,P,5,377.7,2002,Bușilă C.,,,RS2
45.4341823,28.0460396,Columb,49,Galați,Galați,1900,P+1E,,769.94,2001,Mohor E.,,,RS1
45.4508678,28.0366615,Cuza,56,Galați,Galați,1900,P,,198.62,2000,Mohor E.,,,RS1
45.4313436,28.0579068,Navelor,bloc R1,Galați,Galați,1963,D+P+4E,36,2847,2002,Mohor E.,,,RS2
