Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
43.970266,25.326094,str.I.CREANGA,"Bl. 407,NR55,sc.A,B",Alexandria,Teleorman,1972,Spartial+P+4,38,2934.5,2006,Ing.Al. Hristoforov,,,RS3
43.973527,25.3373671,str.AI Ghica,"Bl. 100, nr.148",Alexandria,Teleorman,1970,P+4,40,1808,1999,Hotinceanu Mihail,,,RS3
43.9785705,25.3298205,str.AI Ghica,"Bl. 101, nr.148",Alexandria,Teleorman,1970,P+4,40,2407,1999,Hotinceanu Mihail,,,RS3
43.9735162,25.3373627,str.Al Ghica,"Bl. 102, nr.148",Alexandria,Teleorman,1970,P+4,40,2407,1999,Hotinceanu Mihail,,,RS3
43.9785149,25.3299385,str.Al Ghica,"Bl. 103, nr.148",Alexandria,Teleorman,1970,P+4,40,1808,1999,Hotinceanu Mihail,,,RS3
43.973261,25.3375893,str.Al Ghica,"Bl. 104, nr.148",Alexandria,Teleorman,1970,P+4,40,1808,1999,Hotinceanu Mihail,,,RS3
43.9782317,25.3304202,str.Al Ghica,"Bl. 105, nr.148",Alexandria,Teleorman,1970,P+4,40,1808,1999,Hotinceanu Mihail,,,RS3
43.973208,25.337841,str.Al Ghica,"Bl. 106, nr.148",Alexandria,Teleorman,1970,P+4,40,1774,1999,Hotinceanu Mihail,,,RS3
43.9777967,25.3312685,str.Al Ghica,"Bl. 107, nr.148",Alexandria,Teleorman,1970,P+4,20,2161,1999,Hotinceanu Mihail,,,RS3
43.973101,25.3379979,str.Al Ghica,"Bl. 108, nr.148",Alexandria,Teleorman,1970,P+5,20,2161,1999,Hotinceanu Mihail,,,RS3
43.9759663,25.3339134,str.Al Ghica,"Bl. 109, nr.148",Alexandria,Teleorman,1970,P+6,40,895,1999,Hotinceanu Mihail,,,RS3
43.9726546,25.3386023,str.Al Ghica,"Bl. 110, nr.148",Alexandria,Teleorman,1970,P+7,20,2161,1999,Hotinceanu Mihail,,,RS3
