Lat,Lng,Address,Street Number,Locality,County,Year Built,Height Regime,Apartment Count,Surface,Examination Year,Certified Expert,Has Warning Panels,Observations,Risk Category
45.09596046,24.37367475,cart.Ostroveni,bl.A17/2(A17/1),Râmnicu Vâlcea,Vâlcea,1980,P+8,264,25380,1993,Hotinceanu N. Mihail,NU,,N/A
45.10334125,24.36704213,Ana Ipătescu,bl.S1,Râmnicu Vâlcea,Vâlcea,1980,P+10,238,16544,1993,Hotinceanu N. Mihail,NU,,N/A
45.10362307,24.36708827,Ana Ipătescu,bl.S3,Râmnicu Vâlcea,Vâlcea,1979,P+8,213,15048,1993,Hotinceanu N. Mihail,NU,,N/A
45.1168483,24.3591752,str.Cozia,bl.I,Râmnicu Vâlcea,Vâlcea,1983,P+8,22,4224,1993,Hotinceanu N. Mihail,NU,,N/A
45.0893374,24.3736829,cart. Ostroveni,bl.S2,Râmnicu Vâlcea,Vâlcea,1976,P+10,413,33264,1993,Hotinceanu N. Mihail,NU,,N/A
45.0826539,24.369233,cart. Ostroveni,bl.B5,Râmnicu Vâlcea,Vâlcea,1976,P+10,174,12672,1993,Hotinceanu N. Mihail,NU,,N/A
45.0826539,24.369233,cart. Ostroveni,bl.A8/2,Râmnicu Vâlcea,Vâlcea,1978,P+10,88,4400,1993,Hotinceanu N. Mihail,NU,,N/A
45.0949003,24.3729667,cart.Ostroveni,bl.S1,Râmnicu Vâlcea,Vâlcea,1971,P+10,90,6600,1993,Hotinceanu N. Mihail,NU,,N/A
45.1140748,24.363527,zona Nord,bl.A3,Râmnicu Vâlcea,Vâlcea,1973,P+10,88,6160,1993,Hotinceanu N. Mihail,NU,,N/A
45.1183452,24.3689552,zona Nord,bl.A4,Râmnicu Vâlcea,Vâlcea,1972,P+10,88,6160,1993,Hotinceanu N. Mihail,NU,,N/A
45.1183452,24.3689552,zona Nord,bl.A5,Râmnicu Vâlcea,Vâlcea,1971,P+10,88,6160,1993,Hotinceanu N. Mihail,NU,,N/A
45.1183452,24.3689552,zona Nord,bl.A6,Râmnicu Vâlcea,Vâlcea,1972,P+10,88,6160,1993,Hotinceanu N. Mihail,NU,,N/A
45.1014893,24.3472545,zona Traian,bl.3,Râmnicu Vâlcea,Vâlcea,1969,P+4,50,3360,1993,Hotinceanu N. Mihail,NU,,N/A
45.1014893,24.3472545,zona Traian,bl.5,Râmnicu Vâlcea,Vâlcea,1967,P+4,80,7200,1993,Hotinceanu N. Mihail,NU,,N/A
45.1136425,24.363559,zona Traian,bl.13,Râmnicu Vâlcea,Vâlcea,1967,P+4,60,5500,1993,Hotinceanu N. Mihail,NU,,N/A
45.1014893,24.3472545,zona Traian,bl.14,Râmnicu Vâlcea,Vâlcea,1968,P+4,60,5500,1993,Hotinceanu N. Mihail,NU,,N/A
45.1148654,24.3630427,zona Traian,bl.15,Râmnicu Vâlcea,Vâlcea,1968,P+4,100,7200,1993,Hotinceanu N. Mihail,NU,,N/A
45.1091126,24.3682473,zona Traian,bl.20,Râmnicu Vâlcea,Vâlcea,1969,P+4,80,5500,1993,Hotinceanu N. Mihail,NU,,N/A
45.1183452,24.3689552,zona Nord,bl.B1/2,Râmnicu Vâlcea,Vâlcea,1970,P+4,40,4000,1993,Hotinceanu N. Mihail,NU,,N/A
45.0981357,24.3587244,cart. 1 Mai,bl.9,Râmnicu Vâlcea,Vâlcea,1965,P+4,44,3600,1993,Hotinceanu N. Mihail,NU,,N/A
45.0980788,24.3602875,cart. 1 Mai,bl.12,Râmnicu Vâlcea,Vâlcea,1968,P+4,104,6000,1993,Hotinceanu N. Mihail,NU,,N/A
45.0849376,24.3693004,zona centrală,bl.4 Popescu,Râmnicu Vâlcea,Vâlcea,1960,P+3,76,3720,1993,Hotinceanu N. Mihail,NU,,N/A
45.1028805,24.3651741,zona centrală,bl.F,Râmnicu Vâlcea,Vâlcea,1980,P+8,25,2709,1993,Hotinceanu N. Mihail,NU,,N/A
45.0976721,24.3700227,cart. Ostroveni,bl.A22,Râmnicu Vâlcea,Vâlcea,1983,P+4,109,770,1993,Hotinceanu N. Mihail,NU,,N/A
45.0826539,24.369233,cart. Ostroveni,bl.A27/III,Râmnicu Vâlcea,Vâlcea,1981,P+4,56,4200,1993,Hotinceanu N. Mihail,NU,,N/A
45.0826539,24.369233,cart. Ostroveni,bl.A28/I,Râmnicu Vâlcea,Vâlcea,1980,P+4,48,450,1993,Hotinceanu N. Mihail,NU,,N/A
45.1183452,24.3689552,zona Nord,bl.N1,Râmnicu Vâlcea,Vâlcea,1974,P+4,120,6480,1993,Hotinceanu N. Mihail,NU,,N/A
45.1183452,24.3689552,zona Nord,bl.N7,Râmnicu Vâlcea,Vâlcea,1973,P+4,20,900,1993,Hotinceanu N. Mihail,NU,,N/A
45.10164594,24.35986964,parc Zăvoi,bl.7,Râmnicu Vâlcea,Vâlcea,1977,P+10,44,3696,1993,Hotinceanu N. Mihail,NU,,N/A
45.10166824,24.35891677,parc Zăvoi,bl.9,Râmnicu Vâlcea,Vâlcea,1977,P+10,44,3696,1993,Hotinceanu N. Mihail,NU,,N/A
45.10171067,24.35843097,parc Zăvoi,bl.11,Râmnicu Vâlcea,Vâlcea,1977,P+10,44,3696,1993,Hotinceanu N. Mihail,NU,,N/A
45.1014893,24.3472545,Zona Traian,bl.G3,Râmnicu Vâlcea,Vâlcea,1969,P+4,90,3292,2001,Hotinceanu N. Mihail,NU,,RS2
45.0981357,24.3587244,cart. 1 Mai,bl.6A,Râmnicu Vâlcea,Vâlcea,1967,P+4,44,3110,2001,Hotinceanu N. Mihail,NU,,RS3
